lr_group_0,lr_group_1,step,valid-uas_macro_f1,valid-uas_micro_f1,valid-las_macro_f1,valid-las_micro_f1,epoch,train-loss_arc,train-loss_type,train-loss
0.0,0.0,0,,,,,,,,
1.0638297872340427e-06,1.0638297872340427e-06,1,,,,,,,,
2.1276595744680853e-06,2.1276595744680853e-06,2,,,,,,,,
3.1914893617021277e-06,3.1914893617021277e-06,3,,,,,,,,
4.255319148936171e-06,4.255319148936171e-06,4,,,,,,,,
5.319148936170213e-06,5.319148936170213e-06,5,,,,,,,,
6.3829787234042555e-06,6.3829787234042555e-06,6,,,,,,,,
,,6,8.598915771329757,12.638121546961326,1.041753113162573,0.9668508287292817,0,,,
7.446808510638298e-06,7.446808510638298e-06,8,,,,,,,,
8.510638297872341e-06,8.510638297872341e-06,9,,,,,,,,
9.574468085106383e-06,9.574468085106383e-06,10,,,,,,,,
1.0638297872340426e-05,1.0638297872340426e-05,11,,,,,,,,
1.170212765957447e-05,1.170212765957447e-05,12,,,,,,,,
1.2765957446808511e-05,1.2765957446808511e-05,13,,,,,,,,
1.3829787234042554e-05,1.3829787234042554e-05,14,,,,,,,,
,,13,10.551395697656472,15.814917127071823,0.3855753286493325,0.8287292817679558,0,,,
1.4893617021276596e-05,1.4893617021276596e-05,16,,,,,,,,
1.595744680851064e-05,1.595744680851064e-05,17,,,,,,,,
1.7021276595744682e-05,1.7021276595744682e-05,18,,,,,,,,
1.8085106382978724e-05,1.8085106382978724e-05,19,,,,,,,,
1.9148936170212766e-05,1.9148936170212766e-05,20,,,,,,,,
2.0212765957446807e-05,2.0212765957446807e-05,21,,,,,,,,
2.1276595744680852e-05,2.1276595744680852e-05,22,,,,,,,,
,,20,10.318148411315727,15.331491712707182,0.1465354825204103,0.48342541436464087,0,,,
2.2340425531914894e-05,2.2340425531914894e-05,24,,,,,,,,
2.340425531914894e-05,2.340425531914894e-05,25,,,,,,,,
2.446808510638298e-05,2.446808510638298e-05,26,,,,,,,,
2.5531914893617022e-05,2.5531914893617022e-05,27,,,,,,,,
2.6595744680851064e-05,2.6595744680851064e-05,28,,,,,,,,
2.765957446808511e-05,2.765957446808511e-05,29,,,,,,,,
2.8723404255319154e-05,2.8723404255319154e-05,30,,,,,,,,
,,27,10.89460993463773,16.367403314917127,1.77266781905705,4.350828729281768,0,,,
2.9787234042553192e-05,2.9787234042553192e-05,32,,,,,,,,
3.085106382978723e-05,3.085106382978723e-05,33,,,,,,,,
3.191489361702128e-05,3.191489361702128e-05,34,,,,,,,,
3.2978723404255317e-05,3.2978723404255317e-05,35,,,,,,,,
3.4042553191489365e-05,3.4042553191489365e-05,36,,,,,,,,
3.5106382978723407e-05,3.5106382978723407e-05,37,,,,,,,,
3.617021276595745e-05,3.617021276595745e-05,38,,,,,,,,
,,34,13.16113233073237,19.475138121546962,2.8233155172691218,6.629834254143646,0,,,
3.723404255319149e-05,3.723404255319149e-05,40,,,,,,,,
3.829787234042553e-05,3.829787234042553e-05,41,,,,,,,,
3.936170212765958e-05,3.936170212765958e-05,42,,,,,,,,
4.0425531914893614e-05,4.0425531914893614e-05,43,,,,,,,,
4.148936170212766e-05,4.148936170212766e-05,44,,,,,,,,
4.2553191489361704e-05,4.2553191489361704e-05,45,,,,,,,,
4.3617021276595746e-05,4.3617021276595746e-05,46,,,,,,,,
,,41,13.014062797074,20.027624309392262,3.7243216034180655,7.941988950276244,0,,,
4.468085106382979e-05,4.468085106382979e-05,48,,,,,,,,
4.574468085106383e-05,4.574468085106383e-05,49,,,,,,,,
4.680851063829788e-05,4.680851063829788e-05,50,,,,,,,,
4.787234042553192e-05,4.787234042553192e-05,51,,,,,,,,
4.893617021276596e-05,4.893617021276596e-05,52,,,,,,,,
5e-05,5e-05,53,,,,,,,,
4.98814463544754e-05,4.98814463544754e-05,54,,,,,,,,
,,48,18.313174566601525,24.378453038674035,6.52263404652587,12.01657458563536,0,,,
4.9762892708950804e-05,4.9762892708950804e-05,56,,,,,,,,
,,49,,,,,0,2.3343493938446045,1.3830283880233765,3.7173776626586914
4.96443390634262e-05,4.96443390634262e-05,58,,,,,,,,
4.9525785417901606e-05,4.9525785417901606e-05,59,,,,,,,,
4.9407231772377e-05,4.9407231772377e-05,60,,,,,,,,
4.928867812685241e-05,4.928867812685241e-05,61,,,,,,,,
4.91701244813278e-05,4.91701244813278e-05,62,,,,,,,,
4.90515708358032e-05,4.90515708358032e-05,63,,,,,,,,
,,55,25.589930406960022,30.386740331491712,9.101514184168776,16.16022099447514,0,,,
