lr_group_0,lr_group_1,step,valid-uas_macro_f1,valid-uas_micro_f1,valid-las_macro_f1,valid-las_micro_f1,epoch,train-loss_arc,train-loss_type,train-loss
4.5969176052163604e-05,4.5969176052163604e-05,92,,,,,,,,
4.5850622406639e-05,4.5850622406639e-05,93,,,,,,,,
4.5732068761114405e-05,4.5732068761114405e-05,94,,,,,,,,
4.56135151155898e-05,4.56135151155898e-05,95,,,,,,,,
,,83,49.17776107788086,60.63536071777344,27.702585220336914,47.85911560058594,0,,,
4.549496147006521e-05,4.549496147006521e-05,97,,,,,,,,
4.5376407824540605e-05,4.5376407824540605e-05,98,,,,,,,,
4.525785417901601e-05,4.525785417901601e-05,99,,,,,,,,
4.5139300533491406e-05,4.5139300533491406e-05,100,,,,,,,,
4.502074688796681e-05,4.502074688796681e-05,101,,,,,,,,
4.490219324244221e-05,4.490219324244221e-05,102,,,,,,,,
4.478363959691761e-05,4.478363959691761e-05,103,,,,,,,,
,,90,50.37964630126953,65.12430572509766,27.825077056884766,51.24309539794922,0,,,
4.466508595139301e-05,4.466508595139301e-05,105,,,,,,,,
4.454653230586841e-05,4.454653230586841e-05,106,,,,,,,,
4.4427978660343805e-05,4.4427978660343805e-05,107,,,,,,,,
4.430942501481921e-05,4.430942501481921e-05,108,,,,,,,,
4.4190871369294606e-05,4.4190871369294606e-05,109,,,,,,,,
4.4072317723770004e-05,4.4072317723770004e-05,110,,,,,,,,
4.395376407824541e-05,4.395376407824541e-05,111,,,,,,,,
,,97,46.98173904418945,61.602210998535156,27.596786499023438,50.552486419677734,0,,,
4.3835210432720805e-05,4.3835210432720805e-05,113,,,,,,,,
4.371665678719621e-05,4.371665678719621e-05,114,,,,,,,,
,,99,,,,,0,1.109026551246643,0.7608166337013245,1.8698432445526123
4.359810314167161e-05,4.359810314167161e-05,116,,,,,,,,
4.347954949614701e-05,4.347954949614701e-05,117,,,,,,,,
4.336099585062241e-05,4.336099585062241e-05,118,,,,,,,,
4.324244220509781e-05,4.324244220509781e-05,119,,,,,,,,
4.312388855957321e-05,4.312388855957321e-05,120,,,,,,,,
,,104,60.17211151123047,73.75690460205078,34.224029541015625,60.77347946166992,0,,,
4.3005334914048615e-05,4.3005334914048615e-05,122,,,,,,,,
4.2886781268524005e-05,4.2886781268524005e-05,123,,,,,,,,
4.276822762299941e-05,4.276822762299941e-05,124,,,,,,,,
4.264967397747481e-05,4.264967397747481e-05,125,,,,,,,,
4.253112033195021e-05,4.253112033195021e-05,126,,,,,,,,
4.241256668642561e-05,4.241256668642561e-05,127,,,,,,,,
4.2294013040901006e-05,4.2294013040901006e-05,128,,,,,,,,
,,111,64.76811218261719,77.7624282836914,35.77199172973633,64.84806823730469,0,,,
4.217545939537641e-05,4.217545939537641e-05,130,,,,,,,,
4.205690574985181e-05,4.205690574985181e-05,131,,,,,,,,
4.193835210432721e-05,4.193835210432721e-05,132,,,,,,,,
4.181979845880261e-05,4.181979845880261e-05,133,,,,,,,,
4.1701244813278014e-05,4.1701244813278014e-05,134,,,,,,,,
4.158269116775341e-05,4.158269116775341e-05,135,,,,,,,,
4.1464137522228815e-05,4.1464137522228815e-05,136,,,,,,,,
,,118,69.60570526123047,79.0745849609375,40.96786880493164,68.71546936035156,0,,,
4.1345583876704206e-05,4.1345583876704206e-05,138,,,,,,,,
4.122703023117961e-05,4.122703023117961e-05,139,,,,,,,,
4.110847658565501e-05,4.110847658565501e-05,140,,,,,,,,
4.098992294013041e-05,4.098992294013041e-05,141,,,,,,,,
4.087136929460581e-05,4.087136929460581e-05,142,,,,,,,,
4.0752815649081214e-05,4.0752815649081214e-05,143,,,,,,,,
4.063426200355661e-05,4.063426200355661e-05,144,,,,,,,,
,,125,76.48193359375,82.45856475830078,42.90065002441406,72.72099304199219,0,,,
4.051570835803201e-05,4.051570835803201e-05,146,,,,,,,,
4.039715471250741e-05,4.039715471250741e-05,147,,,,,,,,
4.027860106698281e-05,4.027860106698281e-05,148,,,,,,,,
4.0160047421458214e-05,4.0160047421458214e-05,149,,,,,,,,
4.004149377593361e-05,4.004149377593361e-05,150,,,,,,,,
3.9922940130409016e-05,3.9922940130409016e-05,151,,,,,,,,
3.980438648488441e-05,3.980438648488441e-05,152,,,,,,,,
,,132,61.97527313232422,79.14364624023438,42.295379638671875,70.3729248046875,0,,,
3.968583283935981e-05,3.968583283935981e-05,154,,,,,,,,
3.956727919383521e-05,3.956727919383521e-05,155,,,,,,,,
3.944872554831061e-05,3.944872554831061e-05,156,,,,,,,,
3.933017190278601e-05,3.933017190278601e-05,157,,,,,,,,
3.9211618257261414e-05,3.9211618257261414e-05,158,,,,,,,,
3.909306461173681e-05,3.909306461173681e-05,159,,,,,,,,
3.8974510966212216e-05,3.8974510966212216e-05,160,,,,,,,,
,,139,83.13253784179688,85.15193176269531,50.03154373168945,77.48619079589844,0,,,
3.8855957320687613e-05,3.8855957320687613e-05,162,,,,,,,,
3.873740367516302e-05,3.873740367516302e-05,163,,,,,,,,
3.8618850029638415e-05,3.8618850029638415e-05,164,,,,,,,,
3.850029638411381e-05,3.850029638411381e-05,165,,,,,,,,
3.838174273858922e-05,3.838174273858922e-05,166,,,,,,,,
3.8263189093064614e-05,3.8263189093064614e-05,167,,,,,,,,
3.814463544754001e-05,3.814463544754001e-05,168,,,,,,,,
,,146,84.10050201416016,86.11878204345703,52.53347396850586,78.5911636352539,0,,,
3.802608180201541e-05,3.802608180201541e-05,170,,,,,,,,
3.790752815649081e-05,3.790752815649081e-05,171,,,,,,,,
3.778897451096621e-05,3.778897451096621e-05,172,,,,,,,,
,,149,,,,,0,0.6579136848449707,0.4487447738647461,1.1066584587097168
3.7670420865441615e-05,3.7670420865441615e-05,174,,,,,,,,
3.755186721991701e-05,3.755186721991701e-05,175,,,,,,,,
3.743331357439242e-05,3.743331357439242e-05,176,,,,,,,,
3.7314759928867814e-05,3.7314759928867814e-05,177,,,,,,,,
,,153,75.9447021484375,85.91160583496094,54.47517395019531,79.90331268310547,0,,,
3.719620628334322e-05,3.719620628334322e-05,179,,,,,,,,
3.7077652637818616e-05,3.7077652637818616e-05,180,,,,,,,,
3.695909899229402e-05,3.695909899229402e-05,181,,,,,,,,
3.684054534676942e-05,3.684054534676942e-05,182,,,,,,,,
3.6721991701244815e-05,3.6721991701244815e-05,183,,,,,,,,
3.660343805572021e-05,3.660343805572021e-05,184,,,,,,,,
3.6484884410195617e-05,3.6484884410195617e-05,185,,,,,,,,
3.6366330764671014e-05,3.6366330764671014e-05,186,,,,,,,,
3.624777711914641e-05,3.624777711914641e-05,187,,,,,,,,
3.6129223473621816e-05,3.6129223473621816e-05,188,,,,,,,,
,,163,84.04624938964844,88.46685028076172,55.90461730957031,82.59668731689453,1,,,
3.601066982809721e-05,3.601066982809721e-05,190,,,,,,,,
3.589211618257262e-05,3.589211618257262e-05,191,,,,,,,,
3.5773562537048015e-05,3.5773562537048015e-05,192,,,,,,,,
3.565500889152342e-05,3.565500889152342e-05,193,,,,,,,,
3.5536455245998817e-05,3.5536455245998817e-05,194,,,,,,,,
3.541790160047422e-05,3.541790160047422e-05,195,,,,,,,,
3.529934795494962e-05,3.529934795494962e-05,196,,,,,,,,
,,170,77.63473510742188,88.19060516357422,56.5988655090332,82.32044219970703,1,,,
3.518079430942502e-05,3.518079430942502e-05,198,,,,,,,,
3.506224066390041e-05,3.506224066390041e-05,199,,,,,,,,
3.494368701837582e-05,3.494368701837582e-05,200,,,,,,,,
3.4825133372851215e-05,3.4825133372851215e-05,201,,,,,,,,
3.470657972732662e-05,3.470657972732662e-05,202,,,,,,,,
3.4588026081802016e-05,3.4588026081802016e-05,203,,,,,,,,
3.4469472436277414e-05,3.4469472436277414e-05,204,,,,,,,,
,,177,81.68180847167969,88.12154388427734,58.099945068359375,82.80387115478516,1,,,
3.435091879075282e-05,3.435091879075282e-05,206,,,,,,,,
3.4232365145228216e-05,3.4232365145228216e-05,207,,,,,,,,
3.411381149970362e-05,3.411381149970362e-05,208,,,,,,,,
3.399525785417902e-05,3.399525785417902e-05,209,,,,,,,,
3.387670420865442e-05,3.387670420865442e-05,210,,,,,,,,
3.375815056312982e-05,3.375815056312982e-05,211,,,,,,,,
3.363959691760522e-05,3.363959691760522e-05,212,,,,,,,,
,,184,82.2201919555664,88.74309539794922,57.68559646606445,83.70166015625,1,,,
3.3521043272080614e-05,3.3521043272080614e-05,214,,,,,,,,
3.340248962655602e-05,3.340248962655602e-05,215,,,,,,,,
3.3283935981031416e-05,3.3283935981031416e-05,216,,,,,,,,
3.316538233550682e-05,3.316538233550682e-05,217,,,,,,,,
3.304682868998222e-05,3.304682868998222e-05,218,,,,,,,,
3.292827504445762e-05,3.292827504445762e-05,219,,,,,,,,
3.280972139893302e-05,3.280972139893302e-05,220,,,,,,,,
,,191,85.9352035522461,89.84806823730469,61.06391525268555,84.94474792480469,1,,,
3.2691167753408416e-05,3.2691167753408416e-05,222,,,,,,,,
3.257261410788382e-05,3.257261410788382e-05,223,,,,,,,,
3.245406046235922e-05,3.245406046235922e-05,224,,,,,,,,
3.233550681683462e-05,3.233550681683462e-05,225,,,,,,,,
3.221695317131002e-05,3.221695317131002e-05,226,,,,,,,,
3.2098399525785424e-05,3.2098399525785424e-05,227,,,,,,,,
3.1979845880260815e-05,3.1979845880260815e-05,228,,,,,,,,
,,198,86.8369140625,89.98619079589844,63.76779556274414,85.49723815917969,1,,,
3.186129223473622e-05,3.186129223473622e-05,230,,,,,,,,
,,199,,,,,1,0.526983916759491,0.4016149640083313,0.9285988807678223
3.1742738589211616e-05,3.1742738589211616e-05,232,,,,,,,,
3.162418494368702e-05,3.162418494368702e-05,233,,,,,,,,
3.150563129816242e-05,3.150563129816242e-05,234,,,,,,,,
3.138707765263782e-05,3.138707765263782e-05,235,,,,,,,,
3.126852400711322e-05,3.126852400711322e-05,236,,,,,,,,
3.1149970361588624e-05,3.1149970361588624e-05,237,,,,,,,,
,,205,87.21745300292969,89.70994567871094,59.667720794677734,84.94474792480469,1,,,
3.103141671606402e-05,3.103141671606402e-05,239,,,,,,,,
3.091286307053942e-05,3.091286307053942e-05,240,,,,,,,,
3.079430942501482e-05,3.079430942501482e-05,241,,,,,,,,
3.067575577949022e-05,3.067575577949022e-05,242,,,,,,,,
